epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
71	0.14648718	0.21682893	0.94946706	0.4312686	0.23846726	0.0009853779
72	0.13963853	0.23520419	0.95053875	0.43629092	0.2715774	0.0009853779
73	0.15691122	0.22483884	0.95265615	0.43539187	0.25037202	0.0009853779
74	0.1568779	0.21008635	0.9531671	0.45121527	0.26450893	0.0009720574
75	0.16919833	0.21668173	0.95296025	0.45729166	0.24851191	0.0009720574
76	0.12755354	0.22438882	0.9532385	0.4360429	0.21949404	0.0009720574
77	0.15135735	0.2327449	0.95305264	0.4425409	0.25037202	0.0009720574
78	0.17090122	0.22735575	0.95334786	0.459406	0.28869048	0.0009720574
79	0.14081587	0.23503035	0.9530561	0.4357329	0.23474702	0.0009546165
80	0.15495378	0.22384012	0.9529123	0.45421007	0.25706846	0.0009546165
81	0.16372304	0.22530337	0.95403695	0.45176092	0.24925596	0.0009546165
82	0.16035476	0.22362337	0.9535389	0.47615948	0.25558037	0.0009546165
83	0.14819156	0.22688842	0.9531048	0.46363467	0.24404761	0.0009332076
84	0.1311872	0.22874013	0.95313704	0.4487785	0.23065476	0.0009332076
85	0.1284819	0.22802633	0.95282817	0.44113964	0.2637649	0.0009332076
86	0.1341412	0.22585304	0.9528699	0.44410342	0.24627976	0.0009332076
87	0.12524839	0.22883607	0.95371	0.44962177	0.25	0.0009080173
88	0.1290466	0.2396438	0.95304763	0.4341828	0.24479167	0.0009080173
89	0.16074094	0.2258883	0.9530142	0.44004217	0.2313988	0.0009080173
90	0.1509375	0.23301508	0.953436	0.4485057	0.28125	0.0009080173
91	0.15661405	0.23352477	0.9525023	0.42106894	0.24404761	0.0008792656
92	0.12179169	0.23643751	0.95208764	0.44159228	0.28645834	0.0008792656
93	0.115701705	0.24363911	0.95188594	0.4308656	0.27455357	0.0008792656
94	0.15412518	0.24370284	0.9512141	0.4202319	0.26078868	0.0008792656
95	0.13716498	0.23828651	0.95141387	0.43959573	0.3106399	0.00084720354
96	0.1338373	0.23830406	0.95244056	0.44474205	0.28125	0.00084720354
97	0.13096698	0.23711261	0.95187134	0.41827878	0.25037202	0.00084720354
98	0.1140786	0.23945758	0.9517072	0.41214037	0.23697917	0.00084720354
99	0.14128838	0.2419639	0.9515847	0.43532985	0.24627976	0.00081211084
100	0.14683768	0.24543376	0.95199585	0.43706596	0.24107143	0.00081211084
101	0.14540517	0.25244167	0.9525403	0.42571923	0.22247024	0.00081211084
102	0.16612978	0.23362574	0.953195	0.4453125	0.29761904	0.00081211084
103	0.15011917	0.24302076	0.95366347	0.43267608	0.22842261	0.00081211084
104	0.1273659	0.2400577	0.9514791	0.4375124	0.24181548	0.00077429396
105	0.13935022	0.25143766	0.9523462	0.44487846	0.26302084	0.00077429396
106	0.1281803	0.2469245	0.9527441	0.44568452	0.26450893	0.00077429396
107	0.13087896	0.25155997	0.95135474	0.43205604	0.22842261	0.00077429396
108	0.13955624	0.25163597	0.95275056	0.4315476	0.26488096	0.00073408283
109	0.12123312	0.24877502	0.95143485	0.42943949	0.27901787	0.00073408283
110	0.14993674	0.25463974	0.9517603	0.43501985	0.24739583	0.00073408283
111	0.16797087	0.25853187	0.95050514	0.42535964	0.25855654	0.00073408283
