epoch	training_loss	validation_loss	validation_token_accuracy	metabolite_coverage_score	top_1_metabolite_score	lr-Adam
0	0.42378265	0.34010673	0.9284302	0.11379076	0.05910326	
1	0.49871737	0.2944361	0.9345255	0.14639945	0.09816576	
2	0.13472378	0.262488	0.9389503	0.23097827	0.11684783	
3	0.6761173	0.24008974	0.9416909	0.2761549	0.14334239	
4	0.6173185	0.2237011	0.944103	0.2995924	0.21025816	
5	0.31898072	0.21150762	0.94520223	0.33389947	0.21331522	
6	0.21973912	0.20156297	0.94688654	0.35258153	0.27241847	
7	0.22555299	0.19285221	0.94948435	0.38519022	0.28804347	
8	0.18947175	0.18483028	0.9512545	0.39300272	0.28804347	
9	0.15281795	0.17749625	0.95338106	0.42841372	0.3128397	
10	0.21244942	0.17108893	0.9535238	0.45490828	0.36413044	
11	0.3855187	0.16615456	0.95452327	0.4490489	0.37975544	
12	0.20763727	0.16264582	0.95655	0.45490828	0.3736413	
13	0.16843781	0.16017881	0.9564072	0.44709578	0.3892663	
14	0.23511326	0.15820268	0.95737755	0.45796534	0.4048913	
15	0.37905577	0.15628341	0.958348	0.45015284	0.4048913	
16	0.11084393	0.1541294	0.9598465	0.47494906	0.40319294	
17	0.24518847	0.15189543	0.9599893	0.48581862	0.40319294	
18	0.19528855	0.14993156	0.96260107	0.49363112	0.44055706	
19	0.2289794	0.14793555	0.96351457	0.52318275	0.44836956	
20	0.28641102	0.14628746	0.96395683	0.53880775	0.4701087	
21	0.13755436	0.14466217	0.9640566	0.5201257	0.4375	
22	0.19901271	0.14280652	0.9647276	0.5123132	0.4701087	
23	0.17685634	0.14109483	0.96409965	0.5279382	0.4918478	
24	0.08140028	0.14080124	0.9648135	0.5357507	0.48879075	0.00038714064
25	0.31574088	0.14119281	0.96568406	0.5326936	0.48879075	0.00038714064
26	0.23825462	0.14262614	0.96438515	0.54942256	0.4857337	0.00038714064
27	0.33794257	0.14266154	0.9640566	0.54942256	0.4935462	0.00038714064
28	0.13686576	0.14131969	0.96434224	0.55723506	0.484375	0.00038714064
29	0.24708219	0.13979359	0.9653126	0.5789742	0.5139266	0.00038714064
30	0.09756025	0.13989332	0.9662261	0.5555367	0.5169837	0.00038714064
31	0.10992837	0.14146604	0.9660265	0.5574898	0.5730299	0.00038714064
