products	reactants	set
O=C(O)C1OC(OC2N=C(c3ccccc3Cl)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O	O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O	train
CC(C)(N)Cc1ccc(O)cc1	CC(C)(N)Cc1ccccc1	train
CC(C)(Cc1ccccc1)NO	CC(C)(N)Cc1ccccc1	train
CN(C)CC1CCCCC1(O)c1cccc(O)c1	COc1cccc(C2(O)CCCCC2CN(C)C)c1	train
CNCC1CCCCC1(O)c1cccc(OC)c1	COc1cccc(C2(O)CCCCC2CN(C)C)c1	train
O=C(O)C1OC(OC(Cn2cncn2)(Cn2cncn2)c2ccc(F)cc2F)C(O)C(O)C1O	OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F	train
CCC(CC)OC1C=C(C(=O)O)CC(N)C1NC(C)=O	CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1	train
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(NC)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O	train
Cn1cnc2c1c(=O)[nH]c(=O)n2C	Cn1c(=O)c2c(ncn2C)n(C)c1=O	train
Cn1c(=O)c2[nH]cnc2n(C)c1=O	Cn1c(=O)c2c(ncn2C)n(C)c1=O	train
Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O	Cn1c(=O)c2c(ncn2C)n(C)c1=O	train
Cn1c(=O)[nH]c2ncn(C)c2c1=O	Cn1c(=O)c2c(ncn2C)n(C)c1=O	train
Cn1c(=O)[nH]c2nc[nH]c2c1=O	Cn1c(=O)c2[nH]cnc2n(C)c1=O	train
CCCc1nn(C)c2c(=O)nc(-c3cc([SH](=O)=O)ccc3OCC)[nH]c12	CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12	train
CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCNCC4)ccc3OCC)[nH]c12	CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12	train
Clc1cc2c(s1)CCN(Cc1ccccc1Cl)C2	Clc1ccccc1CN1CCc2sccc2C1	train
O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1	Clc1ccccc1CN1CCc2sccc2C1	train
Clc1ccccc1CN1C=C2C=C[S+]=C2CC1	Clc1ccccc1CN1CCc2sccc2C1	train
[O-][s+]1ccc2c1CCN(Cc1ccccc1Cl)C2	Clc1ccccc1CN1CCc2sccc2C1	train
Clc1ccccc1CN1C=Cc2sccc2C1	Clc1ccccc1CN1CCc2sccc2C1	train
[O-][N+]1(Cc2ccccc2Cl)CCc2sccc2C1	Clc1ccccc1CN1CCc2sccc2C1	train
OC1CN(Cc2ccccc2Cl)Cc2ccsc21	Clc1ccccc1CN1CCc2sccc2C1	train
COc1ccc(OC)c(C(O)CN)c1	COc1ccc(OC)c(C(O)CNC(=O)CN)c1	train
CC(C)NC(=O)NS(=O)(=O)c1c[nH]ccc1=Nc1cccc(CO)c1	Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1	train
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)CO)c1	Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1	train
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(N)=O)c1	Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1	train
Cc1cc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)ccc1O	Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1	train
CNCCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21	CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21	train
N#Cc1ccc2c(c1)COC2(CCC=O)c1ccc(F)cc1	CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21	train
C[N+](C)([O-])CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21	CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21	train
O=S(=O)(CCc1ccc2[nH]cc(CC3CCCN3)c2c1)c1ccccc1	CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12	train
C[N+]1([O-])CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12	CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12	train
Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)CO	Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C	train
Cc1c(C(=O)NC(CSc2ccccc2)C(O)CN2CC3CCCCC3CC2C(=O)NC(C)(C)C)ccc(O)c1O	Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C	train
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(CO)CC3)cc2)C1=O	CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O	train
C=C1C=CC2=CC(C)CC(OC(=O)C(C)CC)C2C1CCC1CC(O)CC(=O)O1	CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21	train
CCC(C)C(=O)OC1CC(C)(O)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21	CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21	train
CC(O)CC(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21	CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21	train
O=C(F)C(F)(F)OC(F)F	FC(F)OC(F)(F)C(F)Cl	train
CC(C)C(C)C(CN)CC(=O)O	CC(C)CC(CN)CC(=O)O	train
O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O	CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21	train
CC(C)CC1(CC(O)CO)C(=O)NC(=O)NC1=O	C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O	train
C=CCC1(CC(C)CO)C(=O)NC(=O)NC1=O	C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O	train
Nc1nc(Cl)nc2c1ncn2C1CC(O)C(COP(=O)(O)O)O1	Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1	train
COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)ccc(O)c2C)CC1	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1	train
COc1cc(O)ccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1	train
Cc1cccc(C)c1NC(=O)CN1CCN(CC(O)COc2ccccc2O)CC1	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1	train
COc1ccccc1OCC(O)CO	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1	train
Cc1cccc(C)c1NC(=O)CN1CCNCC1	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1	train
Cc1cccc(C)c1NC(=O)CCO	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1	train
Cc1cccc(C)c1NC(=O)CN1CCN(CC(O)CO)CC1	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1	train
COc1ccccc1OCC(O)CN1CCN(CC(=O)O)CC1	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1	train
COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2CO)CC1	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1	train
CC(=O)Nc1ccc(O)c(C(=O)O)c1	Nc1ccc(O)c(C(=O)O)c1	train
CN1C2CCC1CC(O)(OC(c1ccccc1)c1ccccc1)C2	CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2	train
c1ccc(C(OC2CC3CCC(C2)N3)c2ccccc2)cc1	CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2	train
O=C1Cc2cc(CCN3CCN(c4n[s+]([O-])c5ccccc45)CC3)c(Cl)cc2N1	O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1	train
O=C(O)Cc1cc2c(cc1Cl)NC(=O)C2	O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1	train
c1ccc2c(N3CCNCC3)nsc2c1	O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1	train
CSc1ccccc1C(=N)N1CCN(CCc2cc3c(cc2Cl)NC(=O)C3)CC1	O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1	train
O=C1Cc2cc(CCN3CCNCC3)c(Cl)cc2N1	O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1	train
N[S+]([O-])c1ccccc1C(=O)N1CCN(CCc2cc3c(cc2Cl)NC(=O)C3)CC1	O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1	train
C=CCN1CC(C(=O)O)CC2c3cccc4[nH]cc(c34)CC21	C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21	train
Nc1ccc(S(=O)(=O)c2ccc(NO)cc2)cc1	Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1	train
CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1	Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1	train
O=C1NC(=O)C(C2=CC3OC3C=C2)(c2ccccc2)N1	O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1	train
O=C1NC2=Nc3ccc(Cl)c(Cl)c3CN2C1O	O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1	train
COCC(O)c1ccc(OCC(O)CNC(C)C)cc1	COCCc1ccc(OCC(O)CNC(C)C)cc1	train
CC(C)NCC(O)COc1ccc(CCO)cc1	COCCc1ccc(OCC(O)CNC(C)C)cc1	train
COCCc1ccc(OCC(O)CN)cc1	COCCc1ccc(OCC(O)CNC(C)C)cc1	train
CCCNCCc1cccc2c1CC(=O)N2	CCCN(CCC)CCc1cccc2c1CC(=O)N2	train
CC1(C)OC2COC(O)(COS(N)(=O)=O)C(O)C2O1	CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1	train
CC1(C)OC2C3OC(C)(CO)OC3COC2(COS(N)(=O)=O)O1	CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1	train
CC1(C)OC2C(O)C(O)COC2(COS(N)(=O)=O)O1	CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1	train
Cn1c(=O)[nH]c(=O)c2[nH]cnc21	Cn1c(=O)c2[nH]cnc2n(C)c1=O	train
Cn1c(=O)c2[nH]c(=O)[nH]c2n(C)c1=O	Cn1c(=O)c2[nH]cnc2n(C)c1=O	train
NC(Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1)C(=O)O	NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	train
NC(Cc1ccc(Oc2ccc(O)cc2)c(I)c1)C(=O)O	NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	train
NC(Cc1cc(I)c(Oc2ccc(OS(=O)(=O)O)c(I)c2)c(I)c1)C(=O)O	NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	train
CC(C)NCCC(C(N)=O)(c1ccccc1)c1ccccn1	CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C	train
CCN(CC)CC(=O)Nc1c(C)ccc(O)c1C	CCN(CC)CC(=O)Nc1c(C)cccc1C	train
CCNCC(=O)Nc1c(C)cccc1C	CCN(CC)CC(=O)Nc1c(C)cccc1C	train
Cc1cccc(C)c1N	CCN(CC)CC(=O)Nc1c(C)cccc1C	train
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1	COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1	train
CNCC(c1ccc(OC)cc1)C1(O)CCCCC1	COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1	train
Cc1ccccc1OC(CCN)c1ccccc1	CNCCC(Oc1ccccc1C)c1ccccc1	train
CNCCC(Oc1ccc(O)cc1C)c1ccccc1	CNCCC(Oc1ccccc1C)c1ccccc1	train
C#CC1(O)CCC2C3CCC4=CC(OS(=O)(=O)C(C)C)CCC4C3C(=C)CC21CC	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC	train
C#CC1(O)CCC2C3CCC4=CC(OC5OC(O)C(O)C(O)C5O)CCC4C3C(=C)CC21CC	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC	train
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	train
CN1CCC23c4c5ccc(OS(=O)(=O)O)c4OC2C(OS(=O)(=O)O)C=CC3C1C5	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	train
Oc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	train
CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	train
CC(O)C(C(=O)O)C1NC(C(=O)O)=C(SC2CNC(C(=O)Nc3cccc(C(=O)O)c3)C2)C1C	CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(C(=O)Nc4cccc(C(=O)O)c4)C3)C(C)C12	train
C#CC1(O)CCC2C3CC(O)C4=CCCCC4C3C(=C)CC21CC	C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC	train
C#CC1(O)C(O)CC2C3CCC4=CCCCC4C3C(=C)CC21CC	C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC	train
