products	reactants	set
NC(=O)c1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1	CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1	train
O=C(O)Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl	O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl	train
O=C(O)CCc1cccc(O)c1	CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12	train
Cc1cc(O)nc2c1N=C(O)c1cccnc1N2C1CC1	Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1	train
O=C1OC(C=S(=O)(O)O)CN1c1ccc(-c2ccc(-c3nn[nH]n3)nc2)c(F)c1	O=C1OC(CO)CN1c1ccc(-c2ccc(-c3nn[nH]n3)nc2)c(F)c1	train
Cc1cc(OC2OC(C(=O)O)C(O)C(O)C2O)ccc1OC(CCN)c1ccccc1	Cc1cc(O)ccc1OC(CCN)c1ccccc1	train
Cc1n2c(c[n+]1C1OC(C(=O)O)C(O)C(O)C1O)CN=C(c1ccccc1F)c1cc(Cl)ccc1-2	Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2	train
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2O)cc1	CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1	train
CN(C(=S)Oc1cccc(C(C)(C)C)c1)c1cccc(O)n1	COc1cccc(N(C)C(=S)Oc2cccc(C(C)(C)C)c2)n1	train
CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12	CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12	train
CCN1C(=O)CCC1CNC(=O)c1c(OC)ccc(Br)c1OC	CCN1CCCC1CNC(=O)c1c(OC)ccc(Br)c1OC	train
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCNCC)c(I)c1	CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1	train
COC(=O)C1C(O)C2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13	COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13	train
C1=c2ccc3c4ccccc4cc4ccc(c2c43)C2OC12	c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34	train
CNCCC(Oc1ccccc1CO)c1ccccc1	CNCCC(Oc1ccccc1C)c1ccccc1	train
Oc1cc2c(cc1O)C(c1ccc(OCCN3CCCC3)cc1)C(c1ccccc1)CC2	Oc1ccc2c(c1)CCC(c1ccccc1)C2c1ccc(OCCN2CCCC2)cc1	train
CC(=O)N(O)c1ccccc1	CC(=O)Nc1ccccc1	train
Cc1cc(OCCCC(C)(C)C(=O)O)c(C)cc1O	Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1	train
Cc1nc(Cn2c(=O)c3c(nc(N4CCCC(O)C4)n3CC#CCO)n(C)c2=O)nc2ccccc12	CC#CCn1c(N2CCCC(O)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	train
Oc1cc(Cl)c(NC2=NCCN2)c(Cl)c1	Clc1cccc(Cl)c1NC1=NCCN1	train
CC(N)Cc1ccccc1	CNC(C)Cc1ccccc1	train
C=CC(O)C1=C(C)C(OC(=O)C2C(C=C(C)C(=O)O)C2(C)C)CC1=O	C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C(=O)O)C2(C)C)CC1=O	train
CCn1c(=O)c2c(nc(C=Cc3ccc(O)c(OC)c3)n2C)n(CC)c1=O	CCn1c(=O)c2c(nc(C=Cc3ccc(OC)c(OC)c3)n2C)n(CC)c1=O	train
OCC[N+]12CCC(C(O)(c3ccccc3)c3ccccc3)(CC1)CC2	OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2	train
COc1ccc2nc([S+]([O-])Cc3ncc(CO)c(OC)c3C)[nH]c2c1	COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1	train
Oc1ccc(Cl)c(Cl)c1	Clc1ccccc1Cl	train
O=C(O)C1OC(Oc2c(-c3ccccc3)oc3ccc(O)cc3c2=O)C(O)C(O)C1O	O=c1c(O)c(-c2ccccc2)oc2ccc(O)cc12	train
[O-][N+]1(CCCOCCCc2ccc(Cl)cc2)CCCCC1	Clc1ccc(CCCOCCCN2CCCCC2)cc1	train
Cc1cccc(C)c1OCC(C)NO	Cc1cccc(C)c1OCC(C)N	train
CC#CCC(C)C(O)C=CC1C(O)CC2CC(C(=O)O)CC21	CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCC(=O)O)CC21	train
C[n+]1c(NO)n(C2OC(C(=O)O)C(O)C(O)C2O)c2ncc(-c3ccccc3)cc21	Cn1c(NO)nc2ncc(-c3ccccc3)cc21	train
Oc1ccc(CCN2CCC(N=c3[nH]c4ccccc4n3Cc3ccc(F)cc3)CC2)cc1	COc1ccc(CCN2CCC(N=c3[nH]c4ccccc4n3Cc3ccc(F)cc3)CC2)cc1	train
Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)OC3C(O)OC(C(=O)O)C(O)C3O)c3ccccn3)ccc21	Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)OC3OC(C(=O)O)C(O)C(O)C3O)c3ccccn3)ccc21	train
CC(=O)OCC(NC(=O)C(Cl)Cl)C(OC(C)=O)c1ccc([N+](=O)[O-])cc1	CC(=O)OC(c1ccc([N+](=O)[O-])cc1)C(CO)NC(=O)C(Cl)Cl	train
NC(CCC(=O)NC(CSc1cc(=O)[nH]c2cc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)ccc12)C(=O)NCC(=O)O)C(=O)O	O=c1ccc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2[nH]1	train
Cn1c(=N)[nH]c2ncc(-c3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc3)cc21	Cn1c(=N)[nH]c2ncc(-c3ccc(O)cc3)cc21	train
Cc1cccc(C)c1NC(=O)CN1CCN(CC(O)CO)CC1	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1	train
Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CC(O)CC3C2)cc1	Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1	train
Cc1cc(CC(=O)OC2OC(C(=O)O)C(O)C(O)C2O)n(C)c1C(=O)c1ccc(Cl)cc1	Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1	train
COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)c5c4C3(CCN1)C2O5	COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1)C2O5	train
CC1(C)OC2COC(O)(COS(N)(=O)=O)C(O)C2O1	CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1	train
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C	C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C	train
CCN(CC)C(=O)C(C#N)=Cc1cc(OC2OC(C(=O)O)C(O)C(O)C2O)c(O)c([N+](=O)[O-])c1	CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1	train
CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)c(O)c3)c(CC(=O)OC3OC(C(=O)O)C(O)C(O)C3O)n2C1	CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)c(O)c3)c(CC(=O)O)n2C1	train
CC(=O)Cc1ccc(O)c(OC2OC(C(=O)O)C(O)C(O)C2O)c1	CC(=O)Cc1ccc(O)c(O)c1	train
CC(=O)Nc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1	CC(=O)Nc1ccc(O)cc1	train
CC(C)[N+]1(C)C2CCC1CC(O)C2	CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	train
C#CC1(O)CCC2C3CCC4=CC(OS(=O)(=O)O)CCC4C3C(=C)CC21CC	C#CC1(O)CCC2C3CCC4=CC(O)CCC4C3C(=C)CC21CC	train
COc1cc(-c2nc(-c3c(Cl)nc(C)c(Cl)c3C)no2)cc([N+](=O)[O-])c1O	Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1	train
O=C(O)C1OC(Oc2cc(O)cc(C=Cc3ccc(O)cc3)c2)C(O)C(O)C1O	Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1	train
O=C(O)CCC(=NNc1nncc2ccccc12)C(=O)O	NNc1nncc2ccccc12	train
O=C(O)C1OC(Oc2ccc3c(=O)c(-c4ccc(O)cc4)coc3c2)C(O)C(O)C1O	O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12	train
CN(C)c1c[nH]n(-c2ccccc2)c1=O	Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C	train
CCN(CC)CC(=O)O	CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1	train
CC(C)(C#CC=CCNCc1cccc2ccccc12)CO	CN(CC=CC#CC(C)(C)CO)Cc1cccc2ccccc12	train
O=C(O)C1OC(Oc2ccc3c(cc4ccc5cccc6c7ccccc7c3c4c56)c2O)C(O)C(O)C1O	Oc1ccc2c(cc3ccc4cccc5c6ccccc6c2c3c45)c1O	train
CN1C(C(=O)Nc2ccc(O)cn2)=C(O)c2ccccc2S1(=O)=O	CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O	train
CC12CCC3C(CCC4=CC(=O)CC(O)C43C)C1CCC2O	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	train
O=S(=O)(CCc1ccc2c(c1)C(CC1CCCN1)CN2)c1ccccc1	CN1CCCC1CC1CNc2ccc(CCS(=O)(=O)c3ccccc3)cc21	train
COc1ccc(N2CCc3c2c2cccc(OC(F)(F)F)c2[nH]c3=N)c(C)c1	COc1ccc(N2CCc3c2c2cccc(OC(F)(F)F)c2[nH]c3=NCCO)c(C)c1	train
CC(C)(C)NC(=O)C1CC2CC(O)CCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1	CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1	train
CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCC(O)CCC3)CC1	CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCCCC3)CC1	train
COc1ccc2c(c1)c(CC(=O)NCC(O)c1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1	COc1ccc2c(c1)c(CC(=O)NCCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1	train
CSC1C(O)C2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12	CSC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12	train
O=C1NC(=O)C(Cc2ccc(OCCNc3ncccc3OS(=O)(=O)O)cc2)S1	O=C1NC(=O)C(Cc2ccc(OCCNc3ncccc3O)cc2)S1	train
COc1cc2oc(=O)cc(-c3ccccc3)c2cc1OC1OC(C(=O)O)C(O)C(O)C1O	COc1cc2oc(=O)cc(-c3ccccc3)c2cc1O	train
CNC(=O)Oc1cccc2c1OC(C)(C)C2O	CNC(=O)Oc1cccc2c1OC(C)(C)C2	train
